french	russian	notes
RICHARD	РИШАР	
Aurélie, Léo, Eliott, Jeanne, Egveniia, Romane, Léa, Théo, Emilie	Орели, Лео, Элиотт, Жанна, Егвения, Роман, Леа, Тео, Эмили	
Moon : Jeanne	Moon : Жанна	
Raph : Eliott	Raph : Элиотт	
Tom : Léo	Tom : Лео	
Ria : Aurélie	Ria : Орели	
Stan : Théo	Stan : Тео	
Gwen : Romane	Gwen : Роман	
Liz : Léa	Liz : Леа	
Vay : Evgennia	Vay : Евгения	
Khal : Emilie	Khal : Эмили	
1 – La Verbeira	1 – Вербейра	
Tous	Все	
Jeanne/Moon : Le cousin de Richard, tu vois ?	Jeanne/Moon : Двоюродный брат Ришара, понимаешь?	« tu vois ? » est une relance orale de connivence, plus qu’une vraie question. « понимаешь? » garde ce ton de conversation et d’insistance familière.
Eliott/Raph : Quoi ?	Eliott/Raph : Что?	
Jeanne/Moon : Tu vois qui ?	Jeanne/Moon : Понимаешь, кто?	« Tu vois qui ? » répète la formule orale pour vérifier que l’autre situe la personne. « Понимаешь, кто? » conserve cette hésitation familière.
Léo/Tom : Oui	Léo/Tom : Да.	
Jeanne/Moon : Il vient d’acheter une Verbeira !	Jeanne/Moon : Он только что купил Вербейру!	
Aurélie/ Ria : Il n’a même pas son permis.	Aurélie/ Ria : У него даже прав нет.	
Jeanne/Moon : Il vient de l’avoir.	Jeanne/Moon : Только что получил.	
Romane/Gwen : Sa Verbeira ?	Romane/Gwen : Свою Вербейру?	
Jeanne/Moon : Aussi.	Jeanne/Moon : Тоже.	
Théo/Stan: Je demande à voir.	Théo/Stan : Хотел бы я на это посмотреть.	
Evgéniia/Vay : La dernière ? Avec des phares à diodes laser plus.	Evgéniia/Vay : Последнюю? С фарами на лазерных диодах плюс.	« phares à diodes laser plus » sonne comme un jargon technique ostentatoire de voiture de luxe. « фары на лазерных диодах плюс » garde l’effet brillant et un peu ridicule.
Léa/Liz : Pourquoi tu dis « à djodes » ? On dit « à di-odes ».	Léa/Liz : Почему ты говоришь «дйодах»? Надо «ди-одах».	le comique porte sur « diodes », mal prononcé « djodes » puis corrigé en « di-odes ». « дйодах / ди-одах » reproduit ce jeu de prononciation.
Evgeniia/Vay : Liz, va moisir !	Evgeniia/Vay : Лиз, сгни уже!	« va moisir ! » est une insulte familière, littéralement « va pourrir ». « сгни уже! » rend l’agressivité adolescente et l’image de pourriture.
Khal/Emilie : Il va frimer à s’en faire exploser les artères, vous allez voir.	Khal/Emilie : Он будет выпендриваться так, что у него артерии лопнут, вот увидите.	« frimer » signifie se vanter, faire le malin, exhiber sa réussite. « выпендриваться » transmet cette ostentation sociale.
Aurélie/Ria : En même temps, tu ne frimerais pas, toi, avec des phares à diodes laser plus ?	Aurélie/Ria : Ну да, а ты бы не выпендривалась с фарами на лазерных диодах плюс?	« frimerais » reprend l’idée de se pavaner avec les « phares à diodes laser plus ». « выпендривалась » garde le ton moqueur.
Eliott/Raph : Moi, je te dis, au volant d’une Verbeira, tu as toujours un abruti content de lui.	Eliott/Raph : А я тебе говорю: за рулем Вербейры всегда сидит самодовольный идиот.	
Tom/Léo : Alors je veux bien devenir un abruti !	Tom/Léo : Тогда я согласен стать идиотом!	
Jeanne/Moon : Sois confiant, Tom, tu es bien parti.	Jeanne/Moon : Будь уверен, Том, ты уже на верном пути.	« tu es bien parti » est ironique : Tom est déjà sur la bonne voie pour être un « abruti ». « ты уже на верном пути » garde cette pique.
Léo/Tom: Moi, je vais peut-être partir en mécanique auto. Enfin, peut-être…	Léo/Tom : Я, может, пойду в автомеханику. Ну, может быть…	« mécanique auto » désigne une orientation professionnelle manuelle, liée au garage. « автомеханика » garde ce registre concret.
Romane/Gwen : Tu sais, le cousin de Richard, il a une Verbeira sans avoir jamais mis les mains dans le cambouis.	Romane/Gwen : Знаешь, двоюродный брат Ришара взял Вербейру, ни разу не запачкав руки в масле.	« mettre les mains dans le cambouis » veut dire faire soi-même le sale travail mécanique. « запачкав руки в масле » rend l’image concrète.
Léa/Liz : Et puis c’est crevant, tout tortillé sous le cul des voitures. Moi je n’irais pas non plus.	Léa/Liz : И потом, это выматывает — весь скрюченный под задницей машин. Я бы тоже не пошла.	« crevant » est familier pour « très fatigant ». « выматывает » garde l’idée d’un travail épuisant.
Léo/Tom : Tu seras un larbin de mecs à grosses caisses.	Léo/Tom : Будешь холуем у мужиков с крутыми тачками.	« larbin » rabaisse l’ouvrier à un serviteur ; « grosses caisses » désigne familièrement des voitures luxueuses. « холуй » et « крутые тачки » gardent le mépris social.
Léa/Liz : Ben c’est vrai qu’il vaut mieux être carrément un mec à grosse caisse. Tant qu’à faire.	Léa/Liz : Ну да, лучше уж самому быть мужиком с крутой тачкой. Раз уж на то пошло.	« grosse caisse » reste l’image de la belle voiture ; « tant qu’à faire » signifie « quitte à choisir ». « крутая тачка » et « раз уж на то пошло » rendent l’ironie.
Ils rient tous sauf Ria. Tom sort vexé, Stan le suit. Ria	Все смеются, кроме Рии. Том уходит обиженный, Стэн идет за ним. Рия	
Gwen/Romane : Vous vous emballez vite, quand même. La Verbeira c’est pas le top. On fait mieux.	Gwen/Romane : Вы все-таки быстро заводитесь. Вербейра — не предел мечтаний. Есть и лучше.	« vous vous emballez » signifie que les autres s’excitent ou s’enthousiasment trop vite. « быстро заводитесь » conserve l’image familière.
Emilie/Khal : Tu ne peux pas dire, à 18 ans, c’est la classe.	Emilie/Khal : Не скажи, в восемнадцать лет это шик.	« c’est la classe » veut dire que cela donne du prestige, surtout à 18 ans. « это шик » garde l’idée d’élégance enviable.
Eliott/Raph : Elle doit être d’occase.	Eliott/Raph : Она, наверное, подержанная.	« d’occase » est familier pour « d’occasion », donc pas neuve. « подержанная » explicite le sens.
Jeanne/Moon : Je crois qu’elle est neuve.	Jeanne/Moon : По-моему, новая.	
Evgeniia/Vay : Avec des phares à diodes laser plus !	Evgeniia/Vay : С фарами на лазерных диодах плюс!	la reprise de « phares à diodes laser plus » imite un argument publicitaire fascinant. « фары на лазерных диодах плюс » garde ce refrain technique.
Ria/Aurélie : Si elle a des phares à diodes laser plus…	Ria/Aurélie : Если у нее фары на лазерных диодах плюс…	
Khal/Emilie : C’est possible, ça ?	Khal/Emilie : Разве такое бывает?	
Romane/Gwen: Faut croire.	Romane/Gwen : Похоже, да.	
Léa/Liz : Moi je veux bien y croire	Léa/Liz : Я вполне готова в это поверить.	
Ria/Aurélie : Comme au Père Noël… Moon, faut toujours que tu la ramènes, et puis qu’est-ce qu’on s’en fout du cousin de Richard ! Qu’est-ce qu’on s’en fout de sa bagnole ? Y a que ça qui te fait rêver ? Pathétique !	Ria/Aurélie : Как в Деда Мороза… Мун, тебе всегда надо вставить свои пять копеек, да и плевать нам на двоюродного брата Ришара! Плевать нам на его тачку! Только это и заставляет тебя мечтать? Жалко!	« la ramener » signifie parler trop ou intervenir sans cesse ; « bagnole » est familier pour voiture. « вставить свои пять копеек » et « тачка » gardent le ton populaire.
Elle prend un livre et s’isole. Gwen et Khal se retrouvent et regardent sur leur téléphone à l’écart.	Она берет книгу и уединяется. Гвен и Каль отходят в сторону и смотрят в свой телефон.	
MUSIQUE	МУЗЫКА	
Moon/Raph/Stan	Мун/Раф/Стэн	
Moon : Pourquoi elle me cherche, Ria ? Qu’est-ce que je lui ai fait ? Qu’est-ce que j’y peux si le cousin de Richard vient d’avoir une Verbeira ? 	Moon : Почему Рия ко мне цепляется? Что я ей сделала? Что я могу поделать, если двоюродный брат Ришара только что получил Вербейру?	
Raph : Quand tu n’as pas d’argent, tu te débrouilles pour en avoir et quand tu en as, tu le dépenses. Normal, non ? 	Raph : Когда у тебя нет денег, ты выкручиваешься, чтобы их раздобыть, а когда они есть — тратишь. Нормально, нет?	« se débrouiller » signifie trouver une solution par ses propres moyens, parfois en bricolant. « выкручиваешься » transmet cette débrouillardise.
Moon : Logique. Pourquoi elle s’énerve comme ça sur moi ? Pourquoi elle n’admet pas que elle aussi ça la fait rêver ? 	Moon : Логично. Почему она так на меня злится? Почему не признает, что ее саму это тоже заводит мечтать?	
Raph : Avant, avec Ria, on n’avait même pas besoin de parler pour se comprendre. Potes, à la vie à la mort. On se regardait, ça suffisait. Mais depuis… Depuis quelques temps, c’est différent. 	Raph : Раньше с Рией нам даже говорить не надо было, чтобы понять друг друга. Друзья — не разлей вода, до гроба. Посмотрели друг на друга — и хватит. Но с тех пор… В последнее время всё иначе.	« potes, à la vie à la mort » désigne une amitié très forte et adolescente. « друзья — не разлей вода, до гроба » rend cette intensité.
Moon : Oui, c’est vrai. Moi, je me regarde en face, ça ne me gêne pas de reconnaitre que j’ai des envies dans la vie. C’est normal de vouloir une belle maison, une belle bagnole, une belle famille. Non ?	Moon : Да, правда. Я смотрю себе в лицо, мне не стыдно признать, что у меня есть желания в жизни. Нормально хотеть красивый дом, красивую тачку, красивую семью. Нет?	« bagnole » est un mot familier pour « voiture », ici associé aux rêves matériels. « тачка » garde ce registre relâché.
Raph : Ben si.  Il faut des buts dans la vie. Je ne sais pas. Je ne comprends pas. 	Raph : Ну да. В жизни нужны цели. Не знаю. Не понимаю.	
Moon : Ria, son but, je crois, c’est d’être prof, ou journaliste, ou quelque chose du genre. Moon et Raph : Chacun ses goûts. C’est tout. 	Moon : У Рии цель, по-моему, стать училкой, или журналисткой, или чем-то вроде того. Мун и Раф : У каждого свои вкусы. И всё.	
Moon : Moi, en tout cas, je trouve que le cousin de Richard a bien raison de profiter de ce qu’il a.  C’est normal. Pouvoir flamber, une fois, au moins une fois, et sentir tous les regards posés sur toi …	Moon : А я, во всяком случае, считаю, что двоюродный брат Ришара правильно делает: пользуется тем, что у него есть. Это нормально. Хоть раз пустить пыль в глаза, хотя бы раз, и чувствовать, как все взгляды на тебе…	« flamber » signifie exhiber son argent ou sa réussite pour attirer les regards. « пустить пыль в глаза » rend cette démonstration ostentatoire.
Raph : Prof… Elle est intelligente, pourtant, Ria. Un puits de connaissance, cette fille. Mais je ne sais pas, elle s’obstine. Avant on se regardait, 	Raph : Училкой… А ведь Рия умная. Кладезь знаний, эта девчонка. Но не знаю, она уперлась. Раньше мы смотрели друг на друга,	
Moon : ça suffisait. 	Moon : и этого хватало.	
Raph : Mais le vide, là, ça stresse. Au lieu de se marrer, de tchatcher, du vide et encore du vide. Mais elle ne voit rien. Même mon vide, elle ne le voit plus.	Raph : А теперь пустота, вот это напрягает. Вместо того чтобы ржать, трепаться, пустота и снова пустота. А она ничего не видит. Даже моей пустоты больше не видит.	« se marrer » veut dire rire, « tchatcher » bavarder beaucoup ; les deux sont familiers. « ржать » et « трепаться » gardent l’énergie orale.
Liz reste à jouer de la guitare et Vay écoute de la musique sous son casque. Entre Stan qui vient la rejoindre	Лиз остается играть на гитаре, а Вэй слушает музыку в наушниках. Входит Стэн и подходит к ней.	
2 - Costard	2 - Костюм	
Gwen, Stan	Гвен, Стэн	
Gwen : Le cousin de Richard, tu vois ?	Gwen : Двоюродный брат Ришара, понимаешь?	« tu vois ? » fonctionne comme une accroche orale répétée dans la pièce. « понимаешь? » garde ce tic de conversation.
Stan : Quoi ?	Stan : Что?	
Gwen : Tu vois qui ?	Gwen : Понимаешь, кто?	« Tu vois qui ? » relance l’interlocuteur pour identifier le cousin. « Понимаешь, кто? » garde la même formule familière.
Stan : Qui roule en Verbeira ?	Stan : Который ездит на Вербейре?	
Gwen : Oui, maintenant, il est toujours en costard.	Gwen : Да, теперь он всегда в костюме.	« costard » est familier pour « costume », avec une nuance sociale de tenue chic. « костюм » donne le sens ; le registre familier est porté par le contexte.
Stan : Tu es prête, on y va ?	Stan : Ты готова, пойдем?	
Gwen : Tu n’avais pas autre chose à te mettre ?	Gwen : Тебе больше нечего было надеть?	
Stan : Non. On y va ?	Stan : Нет. Пойдем?	
Gwen : C’est la couleur aussi.	Gwen : И цвет тоже.	
Stan : Sans doute.	Stan : Наверное.	
Gwen : Surtout avec le pantalon.	Gwen : Особенно с брюками.	
Stan : Il faut changer quoi ? Le pantalon ou les chaussures ?	Stan : Что менять? Брюки или обувь?	
Gwen : Je n’en sais rien, c’est tout. L’allure globale.	Gwen : Не знаю, просто всё. Общий вид.	
Stan : L’allure globale…	Stan : Общий вид…	
Gwen : Oui, je ne sais pas, tout, ça cloche, tout, XXL, la capuche, le délavé. Tout, quoi.	Gwen : Да, не знаю, всё не так: XXL, капюшон, потертости. Всё, короче.	« ça cloche » veut dire que quelque chose ne va pas, sans préciser quoi. « всё не так » garde ce jugement vague.
Stan : Tout moi, quoi.	Stan : То есть весь я.	
Gwen : Mais non mais… Tu ne cherches pas à t’arranger en fait.	Gwen : Да нет, но… Ты на самом деле и не пытаешься выглядеть лучше.	
Stan : Non.	Stan : Нет.	
Gwen : Moi je fais des trucs. Je me maquille. Pour le réveillon, je mets une robe.	Gwen : Я что-то делаю. Крашусь. На новогоднюю вечеринку надеваю платье.	
Stan : Tu veux que je mette une robe ?	Stan : Хочешь, чтобы я надел платье?	
Gwen : Tu n’avais pas une chemise au moins ?	Gwen : У тебя хотя бы рубашки не было?	
Stan : Tu n’aimes pas quand je mets une chemise !	Stan : Тебе не нравится, когда я надеваю рубашку!	
Gwen : Ca dépend une chemise comment.	Gwen : Смотря какую рубашку.	
Stan : Comment ?	Stan : Какую?	
Gwen : N’empêche, ça amincit.	Gwen : Всё равно она стройнит.	
Stan : …	Stan : …	
Gwen : Et puis ça fait plus… Plus smart !	Gwen : И потом, это выглядит более… более смарт!	« smart » est un anglicisme mondain : élégant, chic, bien présenté. « смарт » garde l’emprunt et l’effet de mode.
Stan : …	Stan : …	
Gwen : Tes cheveux ?	Gwen : Твои волосы?	
Stan : Quoi ?	Stan : Что?	
Gwen : C’est bizarre, ils font un peu… un peu comme une perruque. Tu vois ce que je veux dire ?	Gwen : Странно, они немного как… немного как парик. Понимаешь, о чем я?	« tu vois ce que je veux dire ? » adoucit une critique gênante. « понимаешь, о чем я? » garde cette fausse précaution.
Stan : Non.	Stan : Нет.	
Gwen : Même tes dents. Elles sont toujours… Enfin je veux dire… Jamais vraiment…	Gwen : Даже зубы. Они у тебя всегда… Ну, я хочу сказать… Никогда по-настоящему…	
Stan : …	Stan : …	
Gwen : Pourquoi tu me regardes comme ça ?	Gwen : Почему ты на меня так смотришь?	
Stan : Et toi, tu me regardes comment ?	Stan : А ты на меня как смотришь?	
Gwen : Je ne sais plus, Stan. Je ne sais plus.	Gwen : Я уже не знаю, Стэн. Уже не знаю.	
(Stan sort et va se mettre sur le bord de scène haute)	(Стэн выходит и становится у края высокой сцены)	
Attends ! Mais attends, tu vas où ?	Подожди! Да подожди, ты куда?	
Gwen et Khal	Гвен и Каль	
Gwen qui a rejoint Khal : Il est susceptible en plus. Les sacs-poubelles, moi c’est pas mon truc. Pas ma faute quand même. J’ai toujours trouvé ça beau, un mec en costard. 	Gwen, подойдя к Каль : Он еще и обидчивый. Мешки для мусора — это не мое. Не моя же вина. Я всегда находила красивым парня в костюме.	« susceptible » veut dire facilement vexé ; « sacs-poubelles » méprise ses vêtements informes ; « costard » renvoie au costume chic. « обидчивый », « мешки для мусора » et « костюм » rendent ces nuances.
Khal : Comme le cousin de Richard. 	Khal : Как двоюродный брат Ришара.	
Gwen : Je suis sûre que pour un réveillon, lui, il sortirait cash le grand jeu, smoking, cravate. Elégant quoi. 	Gwen : Уверена, что на новогоднюю вечеринку он бы сразу выложился по полной: смокинг, галстук. Элегантно, короче.	« cash » signifie ici « directement, sans hésiter » ; « sortir le grand jeu » veut dire faire de grands efforts pour impressionner. « сразу выложился по полной » rend l’effet spectaculaire.
Khal : Moi je dis, l’élégance ça s’apprend. Le cousin de Richard, il n’était pas comme ça avant. 	Khal : Я говорю: элегантности учатся. Двоюродный брат Ришара раньше таким не был.	
